100784444-01	作者序言 
100955264-179	恶意的网络霸凌,

100955264-180	为的是让受害者长期且持续地处于痛苦和不安之中.

100955264-181	这已经不是板块/Ʋ/第一次人肉搜索女主播了.

100955264-182	其中一个参与的网友对此扬扬得意,还开了新帖,

100955264-183	分享之前诸如此类的经典"灾难"事件的过程和截图,以庆祝胜利.

100955264-184	例如,他讲到照片中的某个女生,脸书账号被盗,登录密码被篡改,

100955264-185	但是她曾在板块/Ʋ/发布的照片,却显示在脸书的时间轴上.

100955264-186	匿名网友: 

100955264-187	有点替她难过,其实她挺性感的,也很可爱.

100955264-188	只是有点蠢,

100955264-189	竟然暴露了个人信息,

100955264-190	哎.不过人嘛,

100955264-191	有时候运气不好是难免的.

100955264-192	匿名回复: 

100955264-193	如果她足够机智,早就滚出去了.

100955264-194	既然不走,就得承担后果呗.

100955264-195	匿名回复: 

100955264-196	我才不管呢,

100955264-197	她都有了男朋友了还在这卖弄风骚,

100955264-198	不是贱人是什么!

100955264-199	骚动持续了不到一个小时,

100955264-200	没过多久,讨论就此结束,

100955264-201	萨拉也被人们忘在脑后.

100955264-202	"人肉"女主播只是人们在网上对他人霸凌,恐吓,挑衅,激怒或蓄意引战的行为之一,

100955264-203	且这种趋势愈演愈烈.

100955264-204	名人,记者,政治人物,体育明星,学者专家——

100955264-205	没错,几乎每个在公众面前亮相或者网络上粉丝众多的"网红"——都会经常遭到陌生人的骚扰,恶评甚至是威胁.

100955264-207	二零一一年,肖恩·达菲因在脸书发表不当言论被捕,

100955264-208	其中一例是他曾嘲讽过自杀的十五岁青少年.

100955264-209	二零一三年,知名媒体人卡罗琳·克里亚多-佩雷斯等人发起过一项行动,

100955264-210	让"简·奥斯汀"的头像登上新版十英镑的纸钞.

100955264-211	但此举让她被推特匿名网友的恶评骂惨了,

100955264-212	更有甚者向卡罗琳本人寄出了炸弹和死亡威胁信,

100955264-213	最后情况严重到警方都建议她暂时先搬到更为安全的地方.

100955264-214	英国剑桥大学的古典学者玛丽·比尔德在ƗƗƙ

100955264-215	"质询时间"节目亮相之后,就收到了一封性骚扰的私信.

100955264-216	二零一四年六月,作家Ơ. ơ.罗琳因向反对苏格兰独立的"在一起更好"行动资助了一百万英镑,遭到了网友们极为恶毒的诋毁和攻击.

100955264-217	网络空间的每个角落,都充斥着某种形式的引战行为.

100955264-218	ƯƿǈƪǈƲƵ,

100955264-219	脸书,推特,

100955264-220	每个平台都有独特的引战模式,

100955264-221	且每种模式为适应平台的环境而不断演进,

100955264-222	就像达尔文雀的演化过程一样.

100955264-223	ƣǌƩǂƱƳƵ的引战有固定的语言套路和引战语气,

100955264-224	这些套路特别容易激怒怀有梦想的青少年歌手们;

100955264-225	混迹于业余色情影片网站的键盘侠们,

100955264-226	也都知道针对影片主人公的吐槽套路是什么;

100955264-227	一些大名鼎鼎的新闻网站评论区,也经常充斥着戾气满满的恶意言论.

100955264-228	在过去的五年里,发生这类行为的频率急剧上升.

100955264-229	二零零七年,英国和威尔士地区的四百九十八人因使用电子设备发送"恶意攻击,不当,猥亵或威胁语气"的信息被判刑;

100955264-230	截至二零一二年,因同类言行被定罪的人数增至一千四百二十三人;

100955264-231	这意味着英国十八到二十四岁的人口中,几乎每三个人里,就有一个人认识遭受网络匿名恶行的受害者.

100955264-232	除此之外,在一项涉及二千人的调查中,

100955264-233	有二％的人表明他们曾在网上以某种形式伤害过他人,

100955264-234	由此推算,仅在英国就有近百万人参与过网络引战.

100955264-235	如今,"引战"已经成为任何"性质恶劣且具有威胁"的网络行为的代名词了.

100955264-236	但是,除了恶意侮辱这个层面,

100955264-237	"引战"本身还具有更多意味.

100955264-238	扎克,三十岁出头,说话带有轻微的泰晤士河地区口音,

100955264-239	参与网络引战长达十余年.

100955264-240	作为老手,他坚持认为:

100955264-241	"‘引战’不是欺凌别人,而是一个‘解除’的过程,

100955264-242	解除旧有的情境,开创新的局面,

100955264-243	打破束缚,想法付诸实践,

100955264-244	计算出触发对方反应的最好方式.

100955264-245	在推特上威胁要强暴某人可不算‘引战’,

100955264-246	那只是威胁要强暴某个人而已.

100955264-248	扎克费时数年优化自己的"引战"策略,

100955264-249	他表示自己最喜欢的套路是这样的:

100955264-250	先加入一个论坛,发言的时候故意写错几个字,犯些语法错误等人来找碴,

100955264-251	然后把话题引向政治层面,让对方陷入困境.

100955264-253	扎克给我看保存在电脑里的近期战果:

100955264-254	他在一个热门右翼网站上发布了一条看似平淡无奇,错误满篇的评论,嘲讽右翼分子肚子里墨水太少.

100955264-255	之后,有一名被激怒的用户开始反击,发布了一张扎克在某个小论坛里以相同的昵称上传的裸照.

100955264-256	鱼儿上钩了.

100955264-257	扎克立刻开始回击:

100955264-258	"别装了,既然这照片让你这么想撸,那你就撸吧!

100955264-259	如果你觉得力度不够,我还能多给你发几张——

100955264-260	还是说你更喜欢露屁股的?你乐意的话,我们还能聊聊为什么落后的思想对人们有害,

100955264-261	以及为什么思想落伍的人难以理解这个世界的规则,而乐于接受进步思潮的人们却生活得如鱼得水?

100955264-263	扎克一个接一个地上传视频,

100955264-264	内容是他处于各种兴奋状态时的生殖器,

100955264-265	视频里不时出现对右翼分子的恶言恶语,还夹杂着莎士比亚和塞万提斯的名言.

100955264-266	在给我看这些视频之前,扎克贱贱地说道:

100955264-267	"睁大眼睛看好啦!

100955264-268	对扎克来说,胜负差距实在太过悬殊.

100955264-269	他的批判因为回复数激增被‘和谐’了,

100955264-270	这些回复占据了网站评论区热门长达数小时.

100955264-271	"他太弱鸡了,

100955264-272	怼我的逻辑一点都不通顺,

100955264-273	以为发几张黑历史的照片就能侮辱我,

100955264-274	告诉你,我可没那么好欺负.

100955264-275	"但这有什么用呢?"

100955264-276	我问道,

100955264-277	"我以为你是针对右翼团体的.

100955264-278	"对,

100955264-279	而且上传裸照可以吸引全网站的眼球,这样才是‘引战’——

100955264-280	你只有搞点事情才能让更多人反思热议的话题.

100955264-281	"那你认为达到这个目的了吗?

100955264-282	一阵沉默.

100955264-283	"不知道,但这很好玩.

100955264-284	就算没有讨论出结果也没关系.

100955264-285	扎克认为,网络引战是一种艺术,科学,玩笑和政治行为的混合体,

100955264-286	但绝不止这些.

100955264-287	他表示:

100955264-288	"‘引战’是一种文化,

100955264-289	也是一种思考模式."

100955264-290	而且自网络诞生之时它就存在着.

100955264-291	如果我想知道这些貌似现代产生的问题从何而来,就必须从源头开始说起.

100955264-292	ƜƹƾƷƵǅ程序

100955264-294	互联网的先驱——阿帕网,直到一九八零年都是一小群学者和政府精英的保护区.

100955264-295	然而,这些"阿帕网用户"发现,

100955264-296	网上闲聊跟共享数据集一样有趣.

100955264-297	此后的四年里,阿帕网的聊天功能

100955264-298	(其原本是辅助研究内容传送而开发的附加功能,

100955264-299	用途类似于便利贴纸)

100955264-300	占据了四分之三的全网流量.

100955264-301	聊天功能的出现具有革命性的意义,

100955264-302	是后来电子邮件的雏形,

100955264-303	也就是我们说的"ƛ-ƽƱƹƼ".只要坐在办公室部门的电脑终端前,就能立刻实现多人即时对话,无须面对面沟通.

100955264-304	这项新技术带来的机遇,有时会刺激一小群世界级的学者们表现出古怪的一面.

100955264-305	其中有个研究小组,于一九七六年成立,负责邮件标题的内容选择.他们自称为"标题怪人",

100955264-306	并且创建了一个自由讨论的聊天室来讨论这个主题.

100955264-307	这个聊天室因尖锐强硬的对话方式而声名远扬(或者说臭名远扬).

100955264-308	在聊天室里,争论大于一切.

100955264-309	肯·哈伦斯腾,

100955264-310	聊天室的创建人,

100955264-311	他事后将这些组员形容为"一群精力旺盛到能把死马撕成碎片的打手".

100955264-312	一九七九年,另外一组团队的学者们,在研发一项名为ƜƹƾƷƵǅ的新功能,

100955264-313	这项功能可以让用户得知其他用户登录或者退出系统的时间.

100955264-314	卡内斯基梅隆大学的艾弗·德拉姆提议增加一个小工具:如果用户想保有隐私,隐藏网上的活动痕迹,可以选择小工具退出ƜƹƾƷƵǅ功能的追踪.

100955264-315	整个团队针对功能的利弊展开了多次讨论,

100955264-316	但有人将这次(内部)讨论内容泄露至阿帕网,全网可见.

100955264-317	德拉姆遭到了全美学者无情的抨击,

100955264-318	因为他们认为,"小工具"会让阿帕网的开放性和透明度大大降低.

100955264-320	大多数学者是相互熟识的,

100955264-321	这多多少少缓和了网络论战的氛围,

100955264-322	毕竟双方极有可能在下个计算机科学大会上碰面,

100955264-323	那就尴尬了.

100955264-324	尽管如此,误解和义愤填膺的人们仍然遍布整个阿帕网.

100955264-325	一位曾参与过ƜƹƾƷƵǅ事件的当事人认为,

100955264-326	网络中"戏谑式"的评论通常会被误解,

100955264-327	于是提议在这些讽刺性的评论后面,加入一种笑脸状的标点符号;-),

100955264-328	避免读者曲解含义.

100955264-329	但是史上第一个表情符号收效甚微,

100955264-330	因为他们在阴阳怪气地贬低嘲讽时,再故意接上一个笑脸,

100955264-331	结果让人更为恼火

100955264-332	阿帕网的用户们担心网络空间会迅速成为一个野蛮人的聚集地,

100955264-333	因此对网络新手们发布了上网礼仪指南,其中提到,尽量避免讽刺和幽默的语言风格,因为"一般人难以通过电脑屏幕理解这类语气,

100955264-334	且有时会被看作无礼和轻蔑的表现".

100955264-335	战火蔓延的ƗƗƩ论战

100955264-336	一九七八年,沃德·克里斯坦森和兰迪·苏斯发明了拨号电子布告栏系统(ƗƗƩ).

100955264-337	只需一个调制解调器(俗称"猫"),

100955264-338	电话和电脑,任何人都能建立或连接进入ƗƗƩ发送消息.

100955264-339	从二十世纪八零年代早期,

100955264-340	ƗƗƩ就成为了许多人网络生活的初体验.

100955264-341	之后的一年里,在电子布告栏上攻击陌生人慢慢成为众所周知且被接受的ƗƗƩ文化.

100955264-342	针对ƜƹƾƷƵǅ的和"标题小组"的内部争论

100955264-343	不过是学者之间的小打小闹,

100955264-344	更多是以讨论为主.

100955264-345	但是ƗƗƩ,人们加入不同的群组和模块,

100955264-346	就是为了掐架.

100955264-347	这就是"论战":

100955264-348	惹恼路人,闯入其他群组捣乱,

100955264-349	为了好玩故意制造矛盾.

100955264-350	最高级的论战形式像是精心设计过的:

100955264-351	含蓄婉转,机智高明,又话中带刺.

100955264-352	精于引战的人

100955264-353	(通常都使用化名发言)在网上还颇有名气.

100955264-354	网友们迫切地等待他们发言,甚至把其中的名言佳句存下来.

100955264-355	论战不仅仅是简单的恶意攻击,

100955264-356	对于多数的引战喷子来说,这是一个实验,打破束缚,得以让大众阅读和评价他们成果的绝佳时机.

100955264-357	一位知名的引战高手曾发布过

100955264-358	"奥托的一九八五年ƗƗƩ论战指南"

100955264-359	这样一篇文章,建议想涉足论战圈的人们,要尽可能地发表争议性的言论,

100955264-360	因为"想让人们阅读你的观点,这是唯一的途径",
